PREGÃO;DESCRIÇÃO;QUANTIDADES DE ITENS LICITADOS;VALOR TOTAL HOMOLOGADO;UNIDADE RESPONSÁVEL;OBSERVAÇÃO 
02/2019;CONTRATAÇÃO DE SERVIÇO DE FORNECIMENTO DE ÁGUA TRATADA E ESGOTO - CAMPUS PINHAIS PARA O EXERCÍCIO 2019;1;R$ 6.000,00;REITORIA;
03/2019;CONTRATAÇÃO DE SERVIÇO DE FORNECIMENTO DE AGUA TRATADA E;1;R$ 42.000,00;REITORIA;
;ESGOTO - CAMPUS COLOMBO EXERCÍCIO 2019;;;;
04/2019;CONTRATAÇÃO DE SERVIÇO DE FORNECIMENTO DE ÁGUA E TRATADA DE ESGOTO AO C. JAGUARIAÍVA P ARA O ANO/EXERCÍCIO DE 2019;1;R$ 9.600,00;REITORIA;
05/2019;CONTRATAÇÃO DE SERVIÇO DE FORNECIMENTO ENERGIA ELÉTRICA PARA O IFPR - CAMPUS PITANGA, EXERCÍCIO 2019;1;R$ 54.000,00;REITORIA;
06/2019;CONTRATAÇÃO DE SERVIÇO DE FORNECIMENTO DE ÁGUA E TRATADA DE ESGOTO AO C. JAGUARIAÍVA P ARA O ANO/EXERCÍCIO DE 2019;1;R$ 9.600,00;REITORIA;
07/2019;FORNECIMENTO DE ÁGUA PARA ATENDER O CAM PUS UNIÃO DA VITÓRIA DO IFPR NO EXERCÍCIO DE 2019;1;R$ 5.400,00;REITORIA;
08/2019;DESPESAS DE CONDOMÍNIO DO EDIFÍCIO AROE IRA, LOCADO PELO IFPR PARA FUNCIONAR COMO SEDE DA REITORIA;1;R$ 420.000,00;REITORIA;
09/2019;PAGAMENTO DE TAXA DE INSCRIÇÃO NO EVENT O MERLIN ROAD SHOW PRODUÇÃO AUDIOVISUAL E STREA MING- SERVIDOR CLAUDIOMIRO DOS SANTOS DE MELO;1;R$ 699,00;REITORIA;
10/2019;PAGAMENTO DE TAXA DE INSCRIÇÃO NO EVENT O MERLIN ROAD SHOW;1;R$ 699,00;REITORIA;
;PRODUÇÃO AUDIOVISUAL E STREA MING- SERVIDORA CARMEN SILVIA DA COSTA;;;;
11/2019;TAXA DE INSCRIÇÃO PARA O CURSO FORMAÇÃ O EM INTELIGÊNCIA;1;R$ 6.300,00;REITORIA;
;"EMOCIONAL"" - SERVIDOR HEMERSO N CAMELO";;;;
12/2019;PAGAMENTO DE TAXA DE INSCRIÇÃO NO CURSO DE FORMAÇÃO;1;R$ 7.500,00;REITORIA;
;INTERNACIONAL EM COACHING INTEGRAL SISTÊMICO PARA O SERVIDOR MARCELO ESTEVAM;;;;
13/2019;PAGAMENTO DE TAXA DE INSCRIÇÃO NO CURSO ELABORAÇÃO E GESTÃO DE PROGRAMAS DE PREPARAÇÃO PARA A APOSENTADORIA NA ADMINISTRAÇÃO PÚBLICA PARA A SERVIDORA ADRIANA BREZINISCKI DE PAIVA;1;R$ 2.590,00;REITORIA;
14/2019;PAGAMENTO E TAXA DE INSCRIÇÃO NO WORKSHOP DE PRODUÇÃO AUDIOVISUAL E STREAMING PARA O SERVIDOR FERNANDO SOUZA DE OLIVEIRA SILVA.;1;R$ 699,00;REITORIA;
15/2019;PAGAMENTO DE TAXA DE INSCRIÇÃO - XXI EN CONTRO NACIONAL DE ALIMENTOS (ENNAL) E VII CONGRESSO LATINO AMERICANO DE ANALISTAS DE ALIMENTOS (CLAAL) PARA A SERVIDORA MICHELE ROSSET.;1;R$ 610,00;REITORIA;
16/2019;PAGAMENTO DE TAXA DE INSCRIÇÃO PARA O X XIX SIMPÓSIO BRASILEIRO DE POLÍTICA E ADMINISTR AÇÃO DE EDUCAÇÃO PARA A SERVIDORA DANIELLE CAPE LASSO SOARES DE SOUZA.;1;R$ 350,00;REITORIA;
17/2019;PAGAMENTO DE TAXA DE INSCRIÇÃO PARA O 3 9 CONBRAI PARA O SERVIDOR ROBERTO BATISTA.;1;R$ 1.600,00;REITORIA;
18/2019;PAGAMENTO DE TAXA DE INSCRIÇÃO PARA O CURSO DE EXECUÇÃO DESCENTRALIZADA - TED, PARA OS SERVIDORES FABIO MARCELO ZAMPIERI MACHADO E B RYAN FELIPE DE OLIVEIRA;1;R$ 5.960,00;REITORIA;
19/2019;PAGAMENTO DE TAXA DE INSCRIÇÃO PARA O C URSO DE MEDIAÇÃO: EMANCIPADORA E RESPONSÁVEL, P ARA A SERVIDORA ALESSANDRA SIVEK PEREZ.;1;R$ 2.190,00;REITORIA;
20/2019;PAGAMENTO DE TAXA DE INSCRIÇÃO PARA O 2 SEMINÁRIO DE EDIÇÃO UNIVERSITÁRIA ACADÊMICA E A 32 REUNIÃO ANUAL DA ABEU PARA A SERVIDORA PATRÍCIA TEIXEIRA.;1;R$ 250,00;REITORIA;
21/2019;PAGAMENTO DE TAXA DE INSCRIÇÃO PARA 50 FONAITEC - CAPACITAÇÃO TÉCNICA DOS INTEGRANTE S DAS AUDITORIAS INTERNAS DO MINISTÉRIO DA EDUC AÇÃO PARA A SERVIDORA KÉTURA SILVA PAIVA;1;R$ 2.500,00;REITORIA;
22/2019;PAGAMENTO DE TAXA DE INSCRIÇÃO PARA O 2º SEMINÁRIO DE EDIÇÃO UNIVERSITÁRIA ACADÊMICA E 32 REUNIÃO ANUAL DA ABEU PARA A SERVIDORA ROBERTA RIOS;1;R$ 250,00;REITORIA;
23/2019;PAGAMENTO DE TAXA DE INSCRIÇÃO PARA O 2 SEMINÁRIO DE EDIÇÃO UNIVERSITÁRIA ACADÊMICA E A 32 REUNIÃO ANUAL ABEU PARA O SERVIDOR JEFERSON MIRANDA ANTUNES.;1;R$ 550,00;REITORIA;
24/2019;SERVIÇO DE FORNECIMENTO DE ÁGUA.;1;R$ 7.200,00;REITORIA;
25/2019;INSCRIÇÃO PARA O CURSO DE TÓPICOS DO REGIME JURÍDICO ÚNICO;1;R$ 7.500,00;REITORIA;
26/2019;INSCRIÇÃO PARA O CURSO DE TÓPICOS DO REGIME JURÍDICO ÚNICO;1;R$ 10.000,00;REITORIA;
27/2019;"PAGAMENTO DE TAXA DE INSCRIÇÃO PARA O E VENTO NOVO SINAPI AVANÇADO"".";1;R$ 3.190,00;REITORIA;
28/2019;"PAGAMENTO DE TAXA DE INSCRIÇÃO PARA O E VENTO NOVO SINAPI AVANÇADO"".";1;R$ 3.190,00;REITORIA;
29/2019;"PAGAMENTO DE TAXA DE INSCRIÇÃO PARA O E VENTO NOVO SINAPI AVANÇADO"".";1;R$ 3.190,00;REITORIA;
30/2019;AQUISIÇÃO DE 36 (TRINTA E SEIS) NÚMEROS DE ISBN.;1;R$ 792,00;REITORIA;
31/2019;PAGAMENTO DE TAXA DE INSCRIÇÃO PARA O PROGRAMA DE FORMAÇÃO EM TREINAMENTO COMPORTAMENTAL.;1;R$ 6.800,00;REITORIA;
32/2019;"PAGAMENTO DE TAXA DE INSCRIÇÃO PARA O XI SEMINÁRIO NACIONAL DO HISTEDBR"", ""IV SEMINÁR IO INTERNACIONAL DESAFIOS DO TRABALHO E EDUCAÇÃO"" E ""I SEMINÁRIO INTERNACIONAL DO HISTEDBR"".";1;R$ 200,00;REITORIA;
37/2019;SOLICITAÇÃO DE REGISTRO DE EMPENHO REFERENTE A PAGAMENTO DE TAXA DE INSCRIÇÃO PARA O SEMINÁRIO NACIONAL DE REVISÃO, REAJUSTE E REPACTUAÇÃO DOS CONTRATOS ADMINISTRATIVOS DE OBRAS, SERVIÇOS CONTÍNUOS E CONTRATOS DECORRENTES DE REGISTRO DE PREÇOS.;1;R$ 10.401,60;REITORIA;
38/2019;"PAGAMENTO DE TAXA DE INSCRIÇÃO PARA PAR TICIPAÇÃO DO SERVIDOR DOUGLAS LUSA KRUG NO EVEN TO ""X BRAZILIAN CONFERENCE ON SOFTWARE: THEORY AND PRACTICE"" (CBSOFT)";1;R$ 550,00;REITORIA;
39/2019;PARTICIPAÇÃO NO EDOC CURITIBA GESTÃO DE INFORMAÇÃO NO CENÁRIO DA TRANSFORMAÇÃO DIGITAL E CASES APERLESS - SERVIDOR ISRAEL GREGÓRIO;1;R$ 850,00;REITORIA;
40/2019;SOLICITAÇÃO DE REGISTRO DE EMPENHO REFE RENTE A PAGAMENTO DE TAXA DE INSCRIÇÃO PARA O C URSO DE AJUSTES FIRMADOS COM FUNDAÇÕES DE APOIO - ASPECTOS JURÍDICOS DO TCU;1;R$ 2.980,00;REITORIA;
41/2019;FORNECIMENTO DE ÁGUA PARA ATENDER O CAMPUS UNIÃO DA VITÓRIA DO IFPR NO EXERCÍCIO DE 2019.;1;R$ 3.600,00;REITORIA;
42/2019;PAGAMENTO DE TAXA DE INSCRIÇÃO EM EVENT O DE CAPACITAÇÃO DOS SERVIDORES ALLAN GONÇALVES BUENO SIAPE N 1665947, LOEIDE DE JESUS BEZERRA BUENO SIAPE N 2108391 E JONATHAN SOUZA CRUZ BARROS SIAPE N 2139097 OCUPANTES DO CARGO EFET IVO DE TÉCNICO DE TECNOLOGIA DA INFORMAÇÃO EM E XERCÍCIO NA DIRETORIA SISTÊMICA DE EDUCAÇÃO A D ISTÂNCIA, PARA PARTICIPAÇÃO NO TREINAMENTO FIRE WALLS COM PFSENSE.;1;R$ 2.880,00;REITORIA;
43/2019;PAGAMENTO DE TAXA DE INSCRIÇÃO EM EVENT O DE CAPACITAÇÃO DOS SERVIDORES ALEX MONTEIRO D O NASCIMENTO E DIOGO LUIZ CECCON, PARA PARTICIPAÇÃO NO SEMINÁRIO NACIONAL CONTRATAÇÃO DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO, QUE SERÁ REALIZADO NOS DIAS 04, 05 E 06 DE NOVEMBRO DE 20 19 NO RIO DE JANEIRO/RJ, COM CARGA HORÁRIA DE 20 HORAS;1;R$ 7.180,00;REITORIA;
45/2019;CONTRATAÇÃO DE SERVIÇO DE FORNECIMENTO DE ÁGUA E TRATADA DE;1;R$ 5.000,00;REITORIA;
;ESGOTO AO C. JAGUARIAÍVA P ARA O ANO/EXERCÍCIO DE 2019;;;;
46/2019;ATENDER DESPESAS COM TAXA DE INSCRIÇÃO DE PARTICIPAÇÃO EM CONFERÊNCIA DE INOVAÇÃO 20 19 PARA CAPACITAÇÃO PROFISSIONAL DE SERVIDORES DA AGÊNCIA DE INOVAÇÃO PROEPPI/IFPR;1;R$ 330,00;REITORIA;
47/2019;PAGAMENTO DE TAXA DE INSCRIÇÃO CURSO D E COMPLIANCE ANTICORRUPÇÃO CURITIBA + CERTIFICA ÇÃO CPC-A do(a) servidor(a) CARLIANE DE OLIVEIR A CARVALHO;1;R$ 4.390,00;REITORIA;
48/2019;PAGAMENTO DE TAXA DE INSCRIÇÃO EM EVENT O DE CAPACITAÇÃO DOS SERVIDORES MARCOS ANTONIO BARBOSA, SIAPE N 1425991, E NELSON DE CASTRO NETO, SIAPE N 1558825, PARA PARTICIPAÇÃO NO ES UD 2019 - CONGRESSO NACIONAL ENSINO SUPERIOR A DISTÂNCIA E CONGRESSO INTERNACIONAL EDUCAÇÃO SU PERIOR A DISTÂNCIA, QUE SERÁ REALIZADO NOS DIAS 26 A 29 DE NOVEMBRO DE 2019 EM TERESINA/PI, COM;1;R$ 800,00;REITORIA;
;CARGA HORÁRIA DE 33 HORAS.;;;;
49/2019;SOLICITAÇÃO DE REGISTRO DE EMPENHO REFERENTE A PAGAMENTO DE TAXA DE INSCRIÇÃO PARA O SEMINÁRIO NACIONAL CONTRATAÇÃO DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO, PARA OS SERVIDORES ROGÉRIO DA COSTA SILVA E LUIZ HENRIQUE BELINA.;1;R$ 7.180,00;REITORIA;
50/2019;SOLICITAÇÃO DE REGISTRO DE EMPENHO REFE RENTE A PAGAMENTO DE TAXA DE INSCRIÇÃO PARA O S EMINÁRIO NACIONAL, RISCOS E INTEGRIDADE NO SETOR PÚBLICO, PARA A SERVIDORA LAÍS LEOPOLDO DANTAS;1;R$ 3.590,00;REITORIA;
51/2019;PAGAMENTO DE TAXAS DIVERSAS, VIA GRU, P ARA PEDIDOS RELATIVOS AOS DEPÓSITOS DE PATENTES , REGISTRO DE MARCAS E REGISTRO DE PROGRAMA DE COMPUTADOR DO IFPR JUNTO AO INSTITUTO NACIONAL DE PROPRIEDADE INDUSTRIAL - INPI.;3;R$ 3.957,00;REITORIA;
52/2019;SOLICITAÇÃO DE REGISTRO DE EMPENHO PARA O PAGAMENTO DO CURSO DE CONFORTO TÉRMICO DAS E DIFICAÇÕES;1;R$ 2.990,00;REITORIA;
53/2019;SOLICITAÇÃO DE REGISTRO DE EMPENHO REFE RENTE A PAGAMENTO DE TAXA DE INSCRIÇÃO PARA O C URSO DE EDIFÍCIOS DE MÚLTIPLOS ANDARES EM AÇO - NBR 8800;1;R$ 1.510,00;REITORIA;
54/2019;PAGAMENTO DE TAXAS DIVERSAS, VIA GRU, P ARA PEDIDOS RELATIVOS AOS DEPÓSITOS DE PATENTES , REGISTRO DE MARCAS E REGISTRO DE PROGRAMA DE COMPUTADOR DO IFPR JUNTO AO INSTITUTO NACIONAL DE PROPRIEDADE INDUSTRIAL - INPI.;3;R$ 3.957,00;REITORIA;
58/2019;AQUISIÇÃO DE LICENÇA DE USO DO SOFTWARE EXPFORM - SISTEMA GERENCIAL ONLINE PARA COMISS ÃO DE ÉTICA NO USO DE ANIMAIS DE EXPERIMENTAÇÃO - SISTEMA CEUA;2;R$ 30.500,00;REITORIA;
59/2019;CONTRATAÇÃO DE PALESTRANTE PARA EVENTO DE CAPACITAÇÃO INTERNA;1;R$ 8.000,00;REITORIA;
62/2019;SERVIÇOS DE CONDOMÍNIO DO EDIFÍCIO ASA, ONDE ESTÁ INSTALADA A PRÓ-REITORIA DE ADMINIST RAÇÃO, REFERENTE AO EXERCÍCIO 2020;1;R$ 72.000,00;REITORIA;
63/2019;CONTRATAÇÃO DE SERVIÇO DE FORNECIMENTO DE ÁGUA E ESGOTO PARA A UNIDADE REITORIA- EXERC ÍCIO 2020.;1;R$ 60.000,00;REITORIA;
64/2019;CONTRATAÇÃO DE SERVIÇOS DE ÁGUA E ESGOTO PARA O EXERCÍCIO 2020 - DSEAD;1;R$ 24.000,00;REITORIA;
01/2019;Estimativa de despesas para atender o fornecimento de água e tratamento de esgoto para o IFPR - Campus Assis Chateaubriand, exercício 2019;1;R$ 18.000,00;ASSIS CHATEAUBRIAND;
02/2019;Pagamento de taxa de inscrição em evento de capacitação: “Clínica de Atualização de Atletas de Handebol” a ser realizado no período de 21/02/2019 a 24/02/2019, em Campo Mourão/PR.;1;R$ 250,00;ASSIS CHATEAUBRIAND;
03/2019;Inexigibilidade de licitação para atender despesas com publicação no DOU para o IFPR - Campus Assis Chateaubriand, exercício 2019.;;R$ 6.000,00;ASSIS CHATEAUBRIAND;
01/2019;Para atender as despesas com água e esgoto no Instituto Federal do Paraná, Campus Campo Largo, no ano de 2019.;1;R$ 2.500,00;CAMPO LARGO;
02/2019;Para atender as despesas com fornecimento de água e tratamento de esgoto do campus Campo Largo no exercício de 2019;1;R$ 51,63;CAMPO LARGO;
03/2019;Para atender as despesas com o fornecimento de água e tratamento de esgoto do Instituto Federal do Paraná - Campus Campo Largo, no exercício de 2020;3;R$ 25.200,00;CAMPO LARGO;
01/2019;Serviço de água e esgoto - Campus Avançado Quedas do Iguaçu - Exercício 2019;1;R$ 960,00;CASCAVEL;
02/2019;Serviço de água e esgoto - Campus Cascavel - Exercício 2019;1;R$ 9.600,00;CASCAVEL;
03/2019;Publicação de atos oficiais (Imprensa Nacional);1;R$ 2.000,00;CASCAVEL;
04/2019;Serviço de água e esgoto - Campus Cascavel - Exercício 2020;1;R$ 24.720,00;CASCAVEL;
45/2018;Contratação de Serviços de Fornecimento de água tratada e tratamento de esgoto para o Campus Avançado Coronel Vivida -Exercício 2019.;1;R$ 6.600,00;PALMAS;
07/2019;Contratação de Serviços de Fornecimento de água tratada e tratamento de esgoto para o Campus Avançado Coronel Vivida -Exercício 2019 (reforço).;1;R$ 2.500,00;PALMAS;
45/2017;Primeiro Termo Aditivo ao Contrato nº 04/2017 – Palmas, referente à prestação de serviços de telefonia para o período 10/11/2018 a 10/11/2019;2;R$ 1.237,80;PALMAS;
45/2017;Segundo Termo Aditivo ao Contrato nº 04/2017 – Palmas, referente à prestação de serviços de telefonia para o período 10/11/2019 a 10/11/2020;;R$ 1.138,80;PALMAS;
07/2019;Para atender as despesas com água e esgoto no Instituto Federal do Paraná, Campus Curitiba, no ano de 2020. (publicada em 2019);1;R$ 60.000,00;CURITIBA;
01/2019;Pagamento de taxa de inscrição em evento de capacitação à servidora Fernanda Rubio, para participação no 2º Congresso Sul-Americano de Resíduos Sólidos e Sustentabilidade;1;R$ 450,00;FOZ DO IGUAÇU;
02/2019;Pagamento de taxa de inscrição em evento de capacitação à servidora Kayla Walquiria Garmus para participação no 2º Congresso Sul-Americano de Resíduos Sólidos e Sustentabilidade;1;R$ 450,00;FOZ DO IGUAÇU;
03/2019;Contratação de empresa especializada no serviço de fornecimento de água e tratamento de esgoto para atender as necessidades do Campus Foz do Iguaçu durante o exercício 2020.;1;R$ 36.405,00;FOZ DO IGUAÇU;
03/2019;Contratação de serviços de distribuição de água tratada para o Campus Avançado Goioerê;1;R$ 10.800,00;UMUARAMA;
01/2018*;Estimativa de despesa com fornecimento de água e coleta de esgoto para o Campus Irati, no exercício de 2019.;1;R$ 42.000,00;IRATI;
01/2019;Contratação de serviços de publicação na Imprensa Nacional, no Diário Oficial da União, para o exercício 2019.;1;R$ 4.500,00;JACAREZINHO;
02/2019;Contratação de empresa especializada na prestação de serviço de capacitação e treinamento pessoal.;1;R$ 13.632,00;JACAREZINHO;
03/2019;Contratação de empresa especializada na prestação de serviço de agenciamento de palestra para atender a demanda de formação pedagógica.;1;R$ 5.500,00;JACAREZINHO;
04/2019;Contratação de empresa especializada no fornecimento de sensores para manutenção de equipamento, visando atender a demanda do eixo de Controle e Processos Industriais.;1;R$ 465,89;JACAREZINHO;
5/2019;Contratação de serviços de publicação na Imprensa Nacional, no Diário Oficial da União, para o exercício 2020.;1;R$ 3.000,00;JACAREZINHO;
06/2019;Contratação de serviços de fornecimento de água e coleta de esgoto para o exercício 2020.;1;R$ 18.000,00;JACAREZINHO;
07/2019;Manutenção e conservação de elevador Un. Centro;1;R$ 14.210,40;LONDRINA;
08/2019;Serviço de emissão da minuta de escritura de imóvel do Instituto Federal do Paraná - Campus Londrina;1;R$ 1.037,85;LONDRINA;
18/2019;Contratação de serviço de manutenção de máquina de tração e instalação de avisos sonoros de acessibilidade de 01 elevador no edifício Sede do Instituto Federal do Paraná – Campus Londrina;1;R$ 4.381,46;LONDRINA;
01/2019;Fornecimento de água e esgoto - Campus Londrina;1;R$ 21.000,00;LONDRINA;
14/2018;SERVIÇOS DE LIMPEZA DE FOSSA;1;R$ 3.500,00;PALMAS;
43/2018;SERVIÇO DE AGUA E ESGOTO;1;R$ 66.000,00;PALMAS;
03/2019;SERVIÇO DE SELEÇÃO E TREINAMENTO;1;R$ 450,00;PALMAS;
04/2019;SERVIÇO DE SELEÇÃO E TREINAMENTO;1;R$ 280,00;PALMAS;
05/2019;SERVIÇO DE SELEÇÃO E TREINAMENTO;1;R$ 900,00;PALMAS;
26/2016;SERVIÇOS DE TELECOMUNICAÇÕES;1;R$ 12.378,00;PALMAS;
60/2017;MANUTENCAO CORRETIVA/ADAPTATIVA E SUSTENTACAO SOFTWARES;;R$ 74.807,18;PALMAS;
60/2017;SERVICOS TECNICOS PROFISSIONAIS DE TIC;;R$ 4.308,80;PALMAS;
42/2018;PUBLICAÇÃO DE MATERIAS OFICIAIS NO DIÁRIO OFICIAL;1;R$ 36.000,00;PALMAS;
06/2019;SERVIÇO DE AGUA E ESGOTO;1;R$ 15.000,00;PALMAS;
08/2019;SERVIÇO DE AGUA E ESGOTO;;R$ 72.000,00;PALMAS;
21/2019;CONTRATAÇÃO DE SERVIÇOS DE FORNECIMENTO DE ÁGUA E ESGOTO PARA O IFPR – CAMPUS PARANAGUÁ - EXERCÍCIO 2020.;;R$ 144.000,00;PARANAGUÁ;
03/2018 **;Contratação de Serviços de Agua e Esgoto para o IFPR – Campus Paranavaí – Exercício de 2019;;38,400.00;PARANAVAÍ;
01/2019;Aquisição de Licenças de Software de Engenharia – MATLAB;;40,000.03;PARANAVAÍ;
02/2019;Contratação de Serviços de Agua e Esgoto para o IFPR – Campus Paranavaí – Exercício de 2019;;3,000.00;PARANAVAÍ;
01/2019;Contratação de empresa para fornecimento de água e tratamento de esgoto;;R$ 42.000,00;TELÊMACO BORBA;
01/2019;Fornecimento de água tratada para o IFPR - Campus Umuarama, exercício 2020.;;R$ 24.000,00;UMUARAMA;
02/2019;Serviço de publicação no Diário Oficial da União.;;R$ 6.000,00;UMUARAMA;
01/2020;CONTRATAÇÃO DE SERVIÇOS DE FORNECIMENTO DE ÁGUA E ESGOTO - CAMPUS PITANGA;1;R$ 12.000,00;REITORIA;
02/2020;"FORNECIMENTO DE ÁGUA PARA ATENDER AS NECESSIDADES
 DO CAMPUS UNIÃO DA VITÓRIA DO IFPR N O EXERCÍCIO DE 2020";1;R$ 15.600,00;REITORIA;
03/2020;CONTRATAÇÃO DE SERVIÇO DE FORNECIMENTO DE ÁGUA TRATADA E ESGOTO DO C. COLOMBO PARA O A NO/EXERCÍCIO 2020;1;R$ 21.600,00;REITORIA;
04/2020;ESTIMATIVA DE DESPESA COM FORNECIMENTO DE ÁGUA E COLETA DE ESGOTO PARA O CAMPUS AVANÇA DO BARRACÃO NO EXERCÍCIO DE 2020;1;R$ 9.000,00;REITORIA;
05/2020;CONTRATAÇÃO DE SERVIÇO DE FORNECIMENTO DE ÁGUA TRATADA E ESGOTO PARA O CAMPUS PINHAIS PARA O ANO/EXERCÍCIO 2020;1;R$ 7.200,00;REITORIA;
06/2020;DESPESAS DE CONDOMÍNIO DO EDIFÍCIO AROE IRA, LOCADO PELO IFPR PARA FUNCIONAR COMO SEDE DA REITORIA;1;R$ 9.500,00;REITORIA;
07/2020;"CONTRATAÇÃO DE SERVIÇO DE FORNECIMENTO DE ÁGUA E COLETA DE ESGOTO SANITÁRIO AO CAMPUS JAGUARIAÍVA PARA O 
 ANO/EXERCÍCIO 2020.";1;R$ 24.000,00;REITORIA;
08/2020;SOLICITAÇÃO DE REGISTRO DE EMPENHO REFE RENTE A PAGAMENTO DE TAXA DE INSCRIÇÃO PARA O C URSO DE REFORMA DA PREVIDÊNCIA - EMENDA CONSTIT UCIONAL N 103/2019 - APLICADA AOS SISTEMAS SIA PE E SIAPECAD;1;R$ 2.500,00;REITORIA;
09/2020;AQUISIÇÃO DE NÚMEROS DE INTERNACIONAL STANDART BOOK NUMBER - ISBN PARA ATENDER DEMANDAS DA EDITORA IFPR E VISANDO VIABILIZAR O PROCESSO EDITORIAL DA EDITORA IFPR;1;R$ 660,00;REITORIA;
10/2020;COMPLEMENTO PARA O PAGAMENTO DE SERVIÇOS DE FORNECIMENTO DE ÁGUA E ESGOTO PARA O EXERCÍCIO DE 2020 - DSEAD/IFPR;1;R$ 36.000,00;REITORIA;
11/2020;CONTRATAÇÃO DE SERVIÇOS DE PESSOA JURÍD ICA DE IMPLANTAÇÃO, SUPORTE, MANUTENÇÃO E DE LI CENÇA DE USO DOS SISTEMAS DE EXTRAÇÃO E GESTÃO ESTRATÉGICA DE INFORMAÇÕES, QUANTITATIVAS E QUA LITATIVAS, DA PRODUÇÃO CIENTÍFICA, TECNOLÓGICA, ARTÍSTICA E DOS PROJETOS DOS DOCENTES, DISCENT ES E TÉCNICOS-ADMINISTRATIVOS DO IFPR E DE SEUS GRUPOS DE PESQUISA, A PARTIR DAS BASES DA PLAT AFORMA LATTES DO CNPQ, PARA USO GERAL DOS SERVI DORES DOS CAMPI E PRÓ-REITORIAS DO IFPR;2;R$ 67.200,00;REITORIA;
12/2020;PAGAMENTO DE TAXAS DIVERSAS, VIA GRU, P ARA PEDIDOS RELATIVOS AOS DEPÓSITOS DE PATENTES , REGISTRO DE MARCAS E REGISTRO DE PROGRAMA DE COMPUTADOR DO IFPR JUNTO AO INSTITUTO NACIONAL DE PROPRIEDADE INDUSTRIAL - INPI.;1;R$ 6.579,12;REITORIA;
13/2020;SOLICITAÇÃO DE REGISTRO DE EMPENHO PARA O PAGAMENTO DE TAXAS DE INSCRIÇÃO NO SEMINÁRIO NACIONAL DE OBRAS PÚBLICAS E MANUTENÇÃO.;1;R$ 1.466,00;REITORIA;
14/2020;SOLICITAÇÃO DE REGISTRO DE EMPENHO PARA PAGAMENTO DE TAXA DE INSCRIÇÃO PARA O EVENTO M ODELOS DE CONTRATAÇÃO E ASPECTOS RELEVANTES NA LICITAÇÃO DE SERVIÇOS DE MANUTENÇÃO PREDIAL, IN CLUINDO O USO DO SINAPI DO(A) SERVIDOR(A) CLAUD EMIRO SOARES DE OLIVEIRA E TIAGO RADASKIEVICZ C OM PREVISÃO DE EXECUÇÃO NOS DIAS 30/07/2020 E 3 1/07/2020 NA MODALIDADE A DISTÂNCIA.;1;R$ 2.580,00;REITORIA;
15/2020;INSCRIÇÕES PARA O CURSO ABERTO EM GESTÃ O DO PATRIMÔNIO IMOBILIÁRIO NA ADMINISTRAÇÃO PÚ BLICA DE EMPRESA COM NOTÓRIA ESPECIALIZAÇÃO N A PRESTAÇÃO DE SERVIÇOS DE CAPACITAÇÃO DE PESSO AL - PARA ATENDER DEMANDA ESPECÍFICA DE FORMAÇ ÃO PROFISSIONAL DOS SERVIDORES DO INSTITUTO FED ERAL DO PARANÁ;1;R$ 22.470,00;REITORIA;
16/2020;"SOLICITAÇÃO DE PAGAMENTO DE TAXA DE INS CRIÇÃO PARA O EVENTO TERMO DE EXECUÇÃO DESCENT RALIZADA - TED ATUALIZADO EM CONFORMIDADE COM O DECRETO N 10.426 DE 16/07/2020, E A JURISPRUD ÊNCIA DO TCU, DOS SERVIDORES: ELVIRA ALESSANDRA MARIQUITO; FÁBIO MARCELO ZAMPIERI MACHADO E T HIAGO DA COSTA FLORENCIO, COM PREVISÃO DE EXECU ÇÃO NOS DIAS 08 A 11 DE SETEMBRO DE 2020.";1;R$ 3.741,00;REITORIA;
17/2020;CONTRATAÇÃO DE ASSINATURA DE SISTEMA DI GITAL MULTIUSUÁRIO (ABNT-COLEÇÃO) PARA DISPONIB ILIZAÇÃO E GERENCIAMENTO DE COLEÇÕES DE NORMAS TÉCNICAS BRASILEIRAS (NBR), MERCOSUL (NM) E ISO;2;R$ 9.778,80;REITORIA;
18/2020;SOLICITAÇÃO DE REGISTRO DE EMPENHO PARA O EVENTO ESOCIAL PARA ÓRGÃOS PÚBLICOS, DOS SER VIDORES FABIANA DOS SANTOS JORGE DA SILVA, KELL Y TIMM E LUCIMARA GOMES MARTINS, COM PREVISÃO D E EXECUÇÃO NOS DIAS 23 ATÉ 25 DE SETEMBRO DE 20 20.;1;R$ 2.400,00;REITORIA;
19/2020;"SOLICITAÇÃO DE REGISTRO DE EMPENHO REFE RENTE A PAGAMENTO DE TAXA DE INSCRIÇÃO PARA PAR A O CURSO DE CAPACITAÇÃO ON LINE, AO VIVO E 10 0% INTERATIVA ACERCA DO TEMA: ELABORAÇÃO E ANÁ LISE DAS PLANILHAS DE CUSTOS E FORMAÇÃO DE PREÇ OS - DE ACORDO COM A IN 05/17-SEGES-MPDG E SUAS ALTERAÇÕES E GESTÃO E FISCALIZAÇÃO DE CONTRATO S NAS LICITAÇÕES PÚBLICAS - ONLINE E AO VIVO - 100% INTERATIVO ; A SER REALIZADO NO PERÍODO DE 23 A 25 DE SETEMBRO DE 2020.";1;R$ 3.900,00;REITORIA;
